                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     250                                      786                  8.0000000000000004E-001                  1.2200000000000001E-002                  2.4472479043966087E+010                  2.9190446862774843E+008                  5.3004480163735834E+003                  6.3787651015324787E-001                  9.4710102470655033E-001                 -4.9056699257450337E-001                  3.5426688498387961E-002                  4.2522660092708630E-008                  9.5222065852098625E-001                  2.0670148284146579E-005                  4.4058695037322675E-003                  4.1671005915395595E-003                  1.2718648985637741E-003                  8.0000000000000004E-001                  0.0000000000000000E+000                  5.2509075409539652E-001                  1.4087839905404633E-003                  2.6367299397060945E-001                  1.2591777048937738E-003                  1.0075415287980878E-003                  4.5535725382337688E-003                  1.0174919188510182E-003                  1.4974280917333814E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0313510679540106E+004                  2.4947553703973871E+007                  1.2541612479315197E+010                  6.3782301578380840E-001                  6.3782301578380829E-001                  1.0842323841341189E-039                  1.8678860820104823E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  7.7229270467786419E+017                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251005"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17 
                                    zone                                     mass                                     logR                                     logT                                   log_dr          raw_rate_r_he3_he3_to_h1_h1_he4                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                tri_alpha 
                                       1                  8.0000000000000004E-001                 -2.3603693507263226E-002                  3.7245667231051791E+000                  5.1384727155928163E+000                  6.7851117645923876E-051                  7.6779999999999993E-001                  2.3412427697323198E-005                  2.1997658757230265E-001                  2.1025988500795508E-003                  6.1630907196949883E-004                  5.7221218635412092E-003                  1.2718648985637698E-003                  2.4871053158459604E-003                  3.7428109633351620E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  7.9999999999920002E-001                 -2.3604600156228735E-002                  3.7251400822312384E+000                  5.2314207900574159E+000                  8.5591569199759706E-051                  7.6779999999999993E-001                  2.3412427697323201E-005                  2.1997658757230265E-001                  2.1025988500795508E-003                  6.1630907196949883E-004                  5.7221218635412092E-003                  1.2718648985637698E-003                  2.4871053158459604E-003                  3.7771449542634060E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  7.9999999999819993E-001                 -2.3605723178217110E-002                  3.7257820034122373E+000                  5.2270785173721865E+000                  8.6452089799981719E-051                  7.6779999999999993E-001                  2.3412427697323205E-005                  2.1997658757230265E-001                  2.1025988500795508E-003                  6.1630907196949883E-004                  5.7221218635412083E-003                  1.2718648985637698E-003                  2.4871053158459608E-003                  3.8151369257833918E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  7.9999999999720006E-001                 -2.3606835030531490E-002                  3.7267516958606715E+000                  5.5217077283656701E+000                  1.7547270815354045E-050                  7.6779999999999993E-001                  2.3412427697323201E-005                  2.1997658757230262E-001                  2.1025988500795508E-003                  6.1630907196949883E-004                  5.7221218635412092E-003                  1.2718648985637698E-003                  2.4871053158459604E-003                  3.8718376524135172E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.9999999999520000E-001                 -2.3609026210085895E-002                  3.7287188386864356E+000                  5.8103295099363619E+000                  3.6112224277898801E-050                  7.6779999999999993E-001                  2.3412427697323208E-005                  2.1997658757230268E-001                  2.1025988500795512E-003                  6.1630907196949904E-004                  5.7221218635412100E-003                  1.2718648985637702E-003                  2.4871053158459612E-003                  3.9841669593652292E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  7.9999999999120008E-001                 -2.3613285164323077E-002                  3.7309135420248811E+000                  5.5933508428458714E+000                  2.3248759466219900E-050                  7.6779999999999993E-001                  2.3412427697323208E-005                  2.1997658757230271E-001                  2.1025988500795517E-003                  6.1630907196949904E-004                  5.7221218635412109E-003                  1.2718648985637698E-003                  2.4871053158459608E-003                  4.1040163101538870E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  7.9999999998870008E-001                 -2.3615869373878811E-002                  3.7326296463846704E+000                  5.5838330195101342E+000                  2.3764173774362352E-050                  7.6779999999999993E-001                  2.3412427697323208E-005                  2.1997658757230271E-001                  2.1025988500795517E-003                  6.1630907196949904E-004                  5.7221218635412109E-003                  1.2718648985637698E-003                  2.4871053158459608E-003                  4.1950440651825837E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  7.9999999998620019E-001                 -2.3618397579897761E-002                  3.7343747093428523E+000                  5.5746280065957521E+000                  2.4273518690804624E-050                  7.6779999999999993E-001                  2.3412427697323201E-005                  2.1997658757230265E-001                  2.1025988500795512E-003                  6.1630907196949904E-004                  5.7221218635412100E-003                  1.2718648985637698E-003                  2.4871053158459608E-003                  4.2850012832546288E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  7.9999999998370031E-001                 -2.3620872777922131E-002                  3.7361489302050317E+000                  5.5657220307130570E+000                  2.4776708533786740E-050                  7.6779999999999993E-001                  2.3412427697323201E-005                  2.1997658757230268E-001                  2.1025988500795512E-003                  6.1630907196949904E-004                  5.7221218635412100E-003                  1.2718648985637698E-003                  2.4871053158459608E-003                  4.3738727679637525E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
