                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251005"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39 
                            model_number                                num_zones                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 star_age                                star_mass          raw_rate_r_he3_he3_to_h1_h1_he4                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                                    log_R                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_mg24                              num_retries                                num_iters 
                                       1                                      704                  1.5012520799349664E+001                  2.8313745176366678E-001                  6.6024585050891575E+000                  1.0000000000000001E-005                  8.0000000000000004E-001                  9.0448932870278252E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040984911723E-001                  7.0779999999999976E-001                  2.9797635251138035E-005                  2.7997020236474884E-001                  2.1025988500795508E-003                  6.1630907196949872E-004                  5.7221218635412074E-003                  1.2718648985637696E-003                  2.4871053158459599E-003                                        0                                        2 
                                       5                                      703                  1.5012520799361322E+001                  2.8313745177304733E-001                  6.6024585050914313E+000                  7.4416000000000014E-005                  8.0000000000000004E-001                  9.0448932885786225E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040812355581E-001                  7.0779999999999976E-001                  2.9797635251138306E-005                  2.7997020236474884E-001                  2.1025988500795508E-003                  6.1630907196949872E-004                  5.7221218635412074E-003                  1.2718648985637696E-003                  2.4871053158459599E-003                                        0                                        2 
                                      10                                      703                  1.5012520799398219E+001                  2.8313745180204819E-001                  6.6024585050993254E+000                  2.5958682111999997E-004                  8.0000000000000004E-001                  9.0448932937307163E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040771344356E-001                  7.0779999999999998E-001                  2.9797635251139109E-005                  2.7997020236474895E-001                  2.1025988500795508E-003                  6.1630907196949883E-004                  5.7221218635412092E-003                  1.2718648985637696E-003                  2.4871053158459604E-003                                        0                                        2 
                                      15                                      703                  1.5012520799492995E+001                  2.8313745187596728E-001                  6.6024585051201461E+000                  7.2035107872931814E-004                  8.0000000000000004E-001                  9.0448933071908606E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040753804548E-001                  7.0779999999999976E-001                  2.9797635251141105E-005                  2.7997020236474884E-001                  2.1025988500795508E-003                  6.1630907196949872E-004                  5.7221218635412074E-003                  1.2718648985637696E-003                  2.4871053158459599E-003                                        0                                        2 
                                      20                                      703                  1.5012520799732133E+001                  2.8313745206186336E-001                  6.6024585051733071E+000                  1.8668799962237366E-003                  8.0000000000000004E-001                  9.0448933413897833E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040756265820E-001                  7.0779999999999998E-001                  2.9797635251146092E-005                  2.7997020236474895E-001                  2.1025988500795508E-003                  6.1630907196949883E-004                  5.7221218635412092E-003                  1.2718648985637696E-003                  2.4871053158459604E-003                                        0                                        2 
                                      25                                      703                  1.5012520800330259E+001                  2.8313745252624400E-001                  6.6024585053068119E+000                  4.7198108322034473E-003                  8.0000000000000004E-001                  9.0448934270554656E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040751456215E-001                  7.0779999999999976E-001                  2.9797635251158506E-005                  2.7997020236474884E-001                  2.1025988500795508E-003                  6.1630907196949872E-004                  5.7221218635412074E-003                  1.2718648985637696E-003                  2.4871053158459599E-003                                        0                                        2 
                                      30                                      703                  1.5012520801822138E+001                  2.8313745368389004E-001                  6.6024585056404606E+000                  1.1818815689988481E-002                  8.0000000000000004E-001                  9.0448936407136428E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040718715993E-001                  7.0779999999999998E-001                  2.9797635251189413E-005                  2.7997020236474895E-001                  2.1025988500795508E-003                  6.1630907196949883E-004                  5.7221218635412092E-003                  1.2718648985637696E-003                  2.4871053158459604E-003                                        0                                        2 
                                      35                                      703                  1.5012520805537703E+001                  2.8313745656643147E-001                  6.6024585064720132E+000                  2.9483411457712130E-002                  8.0000000000000004E-001                  9.0448941725451690E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040626952127E-001                  7.0779999999999976E-001                  2.9797635251266327E-005                  2.7997020236474884E-001                  2.1025988500795508E-003                  6.1630907196949872E-004                  5.7221218635412074E-003                  1.2718648985637696E-003                  2.4871053158459599E-003                                        0                                        2 
                                      40                                      703                  1.5012520814787417E+001                  2.8313746374163706E-001                  6.6024585085428482E+000                  7.3438578398454232E-002                  8.0000000000000004E-001                  9.0448954961323018E+023                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.8711040395122250E-001                  7.0779999999999976E-001                  2.9797635251457722E-005                  2.7997020236474879E-001                  2.1025988500795495E-003                  6.1630907196949861E-004                  5.7221218635412074E-003                  1.2718648985637691E-003                  2.4871053158459599E-003                                        0                                        2 
