                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     300                                      920                  1.2182002999999999E+000                  1.1009190642402101E-002                  3.5878405131829000E+009                  5.6477493386204932E+006                  6.3872429671159498E+003                  4.6256914893520831E+000                  1.7563643741141253E+000                 -3.6094941848837098E-001                  2.7698517536820109E-005                  3.8977009004313279E-015                  9.8922750732528619E-001                  4.1829975581298155E-005                  6.7364101919055574E-003                  5.7448680037909799E-004                  1.1477215688252078E-003                  1.2182002999999999E+000                  0.0000000000000000E+000                  7.7485818775864101E-001                  6.6116253080505342E-004                  4.2917496383580794E-001                  1.4325323845797873E-003                  2.0660359595227077E-003                  5.8752002630091220E-003                  1.3981547594593836E-003                  6.5158657667345757E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1106665834269243E+004                  4.3015703404580159E+006                  2.6335528489182320E+009                  4.6289279945281869E+000                  4.6289279945281869E+000                  2.7745436252880172E-035                  2.2031901546085914E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1322363577882069E+017                               "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17 
                                    zone                                     mass                                     logR                                     logT                                   log_dr          raw_rate_r_he3_he3_to_h1_h1_he4                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                tri_alpha 
                                       1                  1.2182002999999999E+000                  2.4461461934412163E-001                  3.8055059177851795E+000                  5.4366764190052645E+000                  3.3064255109281525E-051                  7.2534858580320294E-001                  2.8056838622402435E-005                  2.6361416671577254E-001                  1.8973698020508523E-003                  5.5615279245525872E-004                  5.1636008585887374E-003                  1.1477215688252464E-003                  2.2443456204819644E-003                  7.4400277878317119E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.2182002999987818E+000                  2.4461364788485943E-001                  3.8059408310479403E+000                  5.5305835571516413E+000                  4.1617291109414970E-051                  7.2534858580320305E-001                  2.8056838622402452E-005                  2.6361416671577248E-001                  1.8973698020508523E-003                  5.5615279245525872E-004                  5.1636008585887383E-003                  1.1477215688252462E-003                  2.2443456204819644E-003                  7.4916976945854211E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.2182002999972590E+000                  2.4461244192508963E-001                  3.8065516230991561E+000                  5.7025558701889096E+000                  6.3021249727632415E-051                  7.2534858580320316E-001                  2.8056838622402462E-005                  2.6361416671577254E-001                  1.8973698020508527E-003                  5.5615279245525883E-004                  5.1636008585887400E-003                  1.1477215688252464E-003                  2.2443456204819653E-003                  7.5631560636750283E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.2182002999949750E+000                  2.4461065005453803E-001                  3.8077934345010029E+000                  6.0624676956211188E+000                  1.4980787795870314E-050                  7.2534858580320305E-001                  2.8056838622403035E-005                  2.6361416671577254E-001                  1.8973698020508898E-003                  5.5615279245525883E-004                  5.1636008585887391E-003                  1.1477215688252464E-003                  2.2443456204819649E-003                  7.7050531905396781E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.2182002999896453E+000                  2.4460654592173323E-001                  3.8091509806200841E+000                  5.7532348203055390E+000                  7.6333232483935114E-051                  7.2534858580320294E-001                  2.8056838622402442E-005                  2.6361416671577254E-001                  1.8973698020508523E-003                  5.5615279245525872E-004                  5.1636008585887365E-003                  1.1477215688252464E-003                  2.2443456204819644E-003                  7.8521105895307404E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.2182002999869808E+000                  2.4460453223648213E-001                  3.8100734108608210E+000                  5.7478994520406870E+000                  7.7277493121394673E-051                  7.2534858580320294E-001                  2.8056838622402445E-005                  2.6361416671577254E-001                  1.8973698020508523E-003                  5.5615279245525872E-004                  5.1636008585887365E-003                  1.1477215688252464E-003                  2.2443456204819644E-003                  7.9492643328980063E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2182002999843158E+000                  2.4460254312913152E-001                  3.8114838347993980E+000                  6.0411204264024230E+000                  1.5736130137120700E-050                  7.2534858580320294E-001                  2.8056838622402438E-005                  2.6361416671577254E-001                  1.8973698020508523E-003                  5.5615279245525872E-004                  5.1636008585887365E-003                  1.1477215688252464E-003                  2.2443456204819644E-003                  8.0936340964353879E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.2182002999789863E+000                  2.4459863578066018E-001                  3.8129874106661870E+000                  5.7623189073358789E+000                  8.5816713160005437E-051                  7.2534858580320294E-001                  2.8056838622402442E-005                  2.6361416671577254E-001                  1.8973698020508523E-003                  5.5615279245525872E-004                  5.1636008585887374E-003                  1.1477215688252464E-003                  2.2443456204819644E-003                  8.2392178541588088E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.2182002999761310E+000                  2.4459657949423899E-001                  3.8145926839928066E+000                  6.0554941327030223E+000                  1.7477928924375473E-050                  7.2534858492358145E-001                  2.8057718243807524E-005                  2.6361416671577276E-001                  1.8973698020508651E-003                  5.5615279245525915E-004                  5.1636008585887409E-003                  1.1477215688252473E-003                  2.2443456204819662E-003                  8.3897419281039780E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
