                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                            model_number                                num_zones                                 star_age                                star_mass                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                                    log_R                              num_retries                                num_iters 
                                       1                                      687                  1.0000000000000001E-005                  9.7159430000000013E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.1205510037635825E-001                                        0                                        4 
                                     100                                      686                  4.1408986761007136E+003                  9.7159430000000013E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.1152475813545283E-001                                        0                                        2 
                                     200                                      769                  1.8141167112904723E+009                  9.7159430000000013E-001                                        2                  1.0496927498994575E-001                                        1                  2.1498457319993894E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                 -1.4835955589905745E-002                                        0                                        5 
                                     300                                      824                  7.0111754247975540E+009                  9.7159430000000013E-001                                        0                  1.2944276177287429E-002                                        1                  2.2783075440349222E-002                                        2                  8.4495755548923773E-002                                        1                  1.5138427900005380E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.3430546265275883E-001                                        0                                        5 
                                     400                                     1143                  8.6344858082817287E+009                  9.7159430000000013E-001                                        0                  1.1393664197719842E-002                                        1                  1.1795828791189405E-002                                        2                  1.2312319246862215E-002                                        3                  1.3193740940718412E-002                                        4                  1.4472703178168784E-002                                        3                  1.7032921987343550E-002                                        2                  2.2706683244406153E-002                                        1                  3.4125886004960033E-002                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.2988276247823626E-001                                        0                                        5 
                                     500                                     1264                  8.8435983228106747E+009                  9.7159430000000013E-001                                        0                  6.4024943911372874E-003                                        1                  6.5255727401166471E-003                                        2                  6.6786631554498817E-003                                        3                  6.8857049541783677E-003                                        4                  8.5401202243905114E-003                                        3                  9.8261948975037049E-003                                        2                  1.2527214739915500E-002                                        1                  2.0458501117757173E-002                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.4469602765652767E-001                                        0                                        5 
                                     600                                     1339                  8.9139442812541409E+009                  9.7159430000000013E-001                                        0                  4.5586197657048822E-003                                        1                  4.6313550912701609E-003                                        2                  4.7204544738786739E-003                                        3                  4.8363394559106463E-003                                        4                  5.0212333446585542E-003                                        5                  5.6224096403306011E-003                                        4                  6.2734868323008949E-003                                        3                  7.1999032246330402E-003                                        2                  9.0049319112975468E-003                                        1                  1.4709514015212458E-002                  7.8037241915152855E-001                                        0                                        5 
                                     700                                     1407                  8.9488612647930603E+009                  9.7159430000000013E-001                                        0                  3.5318963590399437E-003                                        1                  3.5826067098078873E-003                                        2                  3.6439615329753078E-003                                        3                  3.7223766211602013E-003                                        4                  3.8359260132782304E-003                                        5                  4.4874208031159980E-003                                        4                  4.9864329576723302E-003                                        3                  5.7142767561971404E-003                                        2                  7.0570269709454734E-003                                        1                  1.1552090438368664E-002                  8.8442054642693324E-001                                        0                                        5 
                                     800                                     1441                  8.9694708557256584E+009                  9.7159430000000013E-001                                        0                  2.8834227677482747E-003                                        1                  2.9217932440895886E-003                                        2                  2.9679917810162054E-003                                        3                  3.0263011727174735E-003                                        4                  3.1072236982918732E-003                                        5                  3.7417641885231024E-003                                        4                  4.1574740976391454E-003                                        3                  4.7577940440467021E-003                                        2                  5.8263083173142544E-003                                        1                  7.2770186421384662E-003                  9.6768089973175597E-001                                        0                                        5 
