                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     500                                     1264                  9.7159430000000002E-001                  6.0357154709233998E-003                  8.8435983228106747E+009                  1.0560307360897011E+006                  4.9944695586655489E+003                  1.0915489478581934E+001                  4.4126149053567021E+000                  1.2767481858117756E+001                  0.0000000000000000E+000                  2.6136309492956121E-054                  9.9410115430837365E-001                  2.2735456790558417E-005                  3.6371269665178745E-003                  3.7930501603499557E-004                  6.2923070862178640E-004                  9.7159430000000013E-001                  0.0000000000000000E+000                  5.4737624897180426E-001                  9.3517681354985630E-004                  4.1741915885044878E-001                  6.4134715710420195E-004                  1.1618640257816813E-003                  2.2536513915595940E-003                  6.1135696988188928E-004                  1.8940344505398826E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4114950623648372E+004                  4.6154237634472118E+005                  8.9010602951561189E+008                  1.0874181986152417E+001                  1.0874181986152418E+001                  9.6652843520922488E-023                  7.5208748409821158E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.7908273843193014E+017                               "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17 
                                    zone                                     mass                                     logR                                     logT                                   log_dr          raw_rate_r_he3_he3_to_h1_h1_he4                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                tri_alpha 
                                       1                  9.7159430000000013E-001                  6.4469602765652767E-001                  3.6984919899912820E+000                  4.3673487776665425E+000                  3.7152188476029770E-051                  7.3693678295274845E-001                  2.7352899076724587E-005                  2.5700014867725146E-001                  1.0402203613582726E-003                  3.0490706561940622E-004                  2.8309097916626880E-003                  6.2923070862178554E-004                  1.2304475436612557E-003                  1.1384453439863081E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.7159429999902847E-001                  6.4469599469441230E-001                  3.6984978841793938E+000                  4.4642176185610278E+000                  4.6444646055339946E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940611E-004                  2.8309097916626876E-003                  6.2923070862178532E-004                  1.2304475436612555E-003                  1.1385534907244445E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.7159429999781399E-001                  6.4469595349567055E-001                  3.6985044339204358E+000                  4.4641718866605276E+000                  4.6449546348739681E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940611E-004                  2.8309097916626876E-003                  6.2923070862178532E-004                  1.2304475436612555E-003                  1.1386736484248167E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.7159429999659963E-001                  6.4469591230126300E-001                  3.6985142594524176E+000                  4.7651332854582256E+000                  9.2913792789963992E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940611E-004                  2.8309097916626876E-003                  6.2923070862178532E-004                  1.2304475436612555E-003                  1.1388538753269525E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.7159429999417057E-001                  6.4469582992544838E-001                  3.6985273627649211E+000                  4.7650418596890356E+000                  9.2933391257312533E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940616E-004                  2.8309097916626876E-003                  6.2923070862178543E-004                  1.2304475436612555E-003                  1.1390941575776805E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.7159429999174152E-001                  6.4469574756695780E-001                  3.6985486595982260E+000                  5.1170758474539992E+000                  2.0917177927059424E-050                  7.3693678295274845E-001                  2.7352899076724584E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940622E-004                  2.8309097916626876E-003                  6.2923070862178554E-004                  1.2304475436612557E-003                  1.1394845729321101E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.7159429998627644E-001                  6.4469556232366143E-001                  3.6985961882304754E+000                  5.4635322853217723E+000                  4.6520174462766108E-050                  7.3693678235101634E-001                  2.7353500808881284E-005                  2.5700014867725146E-001                  1.0402203613582724E-003                  3.0490706561940622E-004                  2.8309097916626880E-003                  6.2923070862178554E-004                  1.2304475436612555E-003                  1.1403552981139707E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.7159429997413149E-001                  6.4469515098527830E-001                  3.6986577092040984E+000                  5.4051128033859213E+000                  4.0747112544711230E-050                  7.3693678174813182E-001                  2.7354103693317017E-005                  2.5700014867725146E-001                  1.0402203613582726E-003                  3.0490706561940622E-004                  2.8309097916626880E-003                  6.2923070862178564E-004                  1.2304475436612557E-003                  1.1414807748606638E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.7159429996350477E-001                  6.4469479141801866E-001                  3.6987233866868090E+000                  5.5138018933544846E+000                  5.2444205042547738E-050                  7.3693678174812549E-001                  2.7354103699748694E-005                  2.5700014867725135E-001                  1.0402203613582722E-003                  3.0490706561940616E-004                  2.8309097916626867E-003                  6.2923070862178532E-004                  1.2304475436612553E-003                  1.1426807658076677E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
