                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     600                                     1339                  9.7159430000000002E-001                  6.0357154709233998E-003                  8.9139442812541409E+009                  4.6994019055309292E+005                  4.9071541875410376E+003                  1.9000163281888838E+001                  6.0307651867006902E+000                  1.4433126179417268E+001                  0.0000000000000000E+000                  1.9978382147744041E-052                  9.9410115430837354E-001                  2.2735456790557390E-005                  3.6371269665178736E-003                  3.7930501603499606E-004                  6.2923070862178629E-004                  9.7159430000000013E-001                  0.0000000000000000E+000                  5.3727430328507786E-001                  9.2971547135022525E-004                  4.2753347807040176E-001                  6.4204825785504438E-004                  1.2086134612191526E-003                  2.1992886643442192E-003                  6.1135696988189069E-004                  2.0988392761649743E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5037415709546357E+005                  1.9400864053811730E+005                  5.1136102652661645E+008                  1.8915740051920128E+001                  1.8915740051920142E+001                  9.8892504292635669E-021                  1.3072326001930745E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.8130268805010570E+017                               "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17 
                                    zone                                     mass                                     logR                                     logT                                   log_dr          raw_rate_r_he3_he3_to_h1_h1_he4                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                tri_alpha 
                                       1                  9.7159430000000013E-001                  7.8037241915152855E-001                  3.6908307340367168E+000                  4.2256369610175586E+000                  2.7564076144955768E-051                  7.3693678295274845E-001                  2.7352899076724587E-005                  2.5700014867725146E-001                  1.0402203613582726E-003                  3.0490706561940622E-004                  2.8309097916626880E-003                  6.2923070862178554E-004                  1.2304475436612557E-003                  8.4457890360794321E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.7159429999902847E-001                  7.8037240174841882E-001                  3.6908330513112575E+000                  4.3225307465045768E+000                  3.4456381731189806E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940611E-004                  2.8309097916626876E-003                  6.2923070862178532E-004                  1.2304475436612555E-003                  8.4461044709801736E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.7159429999781399E-001                  7.8037237999534348E-001                  3.6908356261472344E+000                  4.3225127946824502E+000                  3.4457811207303341E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940611E-004                  2.8309097916626876E-003                  6.2923070862178532E-004                  1.2304475436612555E-003                  8.4464549483526827E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.7159429999659963E-001                  7.8037235824316631E-001                  3.6908394885240643E+000                  4.6235158492378128E+000                  6.8919910756000179E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940611E-004                  2.8309097916626876E-003                  6.2923070862178532E-004                  1.2304475436612555E-003                  8.4469806537617022E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.7159429999417057E-001                  7.8037231474150714E-001                  3.6908446387103959E+000                  4.6234798982460186E+000                  6.8925628363662244E-051                  7.3693678295274845E-001                  2.7352899076724577E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940616E-004                  2.8309097916626876E-003                  6.2923070862178543E-004                  1.2304475436612555E-003                  8.4476815721521239E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.7159429999174152E-001                  7.8037227124344466E-001                  3.6908530082894613E+000                  4.9756040152681642E+000                  1.5510356794233085E-050                  7.3693678295274845E-001                  2.7352899076724584E-005                  2.5700014867725141E-001                  1.0402203613582724E-003                  3.0490706561940622E-004                  2.8309097916626876E-003                  6.2923070862178554E-004                  1.2304475436612557E-003                  8.4488205166902884E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.7159429998627644E-001                  7.8037217338594822E-001                  3.6908716816034755E+000                  5.3222612839455570E+000                  3.4479338351799184E-050                  7.3693678235101634E-001                  2.7353500808881284E-005                  2.5700014867725146E-001                  1.0402203613582724E-003                  3.0490706561940622E-004                  2.8309097916626880E-003                  6.2923070862178554E-004                  1.2304475436612555E-003                  8.4513610096896899E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.7159429997413149E-001                  7.8037195598995912E-001                  3.6908958364124946E+000                  5.2641010186393453E+000                  3.0182474276664567E-050                  7.3693678174813182E-001                  2.7354103693317017E-005                  2.5700014867725146E-001                  1.0402203613582726E-003                  3.0490706561940622E-004                  2.8309097916626880E-003                  6.2923070862178564E-004                  1.2304475436612557E-003                  8.4546456301445032E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.7159429996350477E-001                  7.8037176584208878E-001                  3.6909216089051742E+000                  5.3730660615052148E+000                  3.8822113412398080E-050                  7.3693678174812549E-001                  2.7354103699748694E-005                  2.5700014867725135E-001                  1.0402203613582722E-003                  3.0490706561940616E-004                  2.8309097916626867E-003                  6.2923070862178532E-004                  1.2304475436612553E-003                  8.4581486653229357E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
