                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                            model_number                                num_zones                                 star_age                                star_mass                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                                    log_R                              num_retries                                num_iters 
                                       1                                      669                  1.0000000000000001E-005                  1.3775601000000002E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.7556774150294884E-001                                        0                                        2 
                                     100                                      667                  4.1408986761007136E+003                  1.3775601000000002E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.7457928287753670E-001                                        0                                        2 
                                     200                                      847                  4.8836136534846312E+008                  1.3775601000000002E+000                                        3                  3.0224493840409785E-002                                        2                  1.2998380920533525E-001                                        1                  2.0684187682770069E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.2674383454786253E-001                                        0                                        5 
                                     300                                      985                  2.2636275443757038E+009                  1.3775601000000002E+000                                        0                  9.8580217344998635E-003                                        1                  2.4898797251929054E-002                                        2                  3.2792452959258492E-002                                        3                  4.6175262343432243E-002                                        2                  8.3756642839351192E-002                                        1                  1.4458906096926194E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.9272911597548867E-001                                        0                                        5 
                                     400                                     1229                  2.7587977866786976E+009                  1.3775601000000002E+000                                        0                  8.3020121249276421E-003                                        1                  8.5069957408124598E-003                                        2                  8.7626526926066657E-003                                        3                  9.1171887538733561E-003                                        4                  1.1099241631550152E-002                                        3                  1.2952548104502868E-002                                        2                  1.6556622485209956E-002                                        1                  2.4520146218364278E-002                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  5.6011742319042657E-001                                        0                                        5 
                                     500                                     1307                  2.8582975787233295E+009                  1.3775601000000002E+000                                        0                  5.4370832920082905E-003                                        1                  5.5280263132383347E-003                                        2                  5.6397846264564849E-003                                        3                  5.7858129522013061E-003                                        4                  6.0330146485004675E-003                                        5                  6.6066629158015597E-003                                        4                  7.4507091720949180E-003                                        3                  8.5959916132617078E-003                                        2                  1.0713926333499874E-002                                        1                  1.6897647387325548E-002                  7.1477980389734153E-001                                        0                                        5 
                                     600                                     1340                  2.9021256476788974E+009                  1.3775601000000002E+000                                        0                  4.1483279463267594E-003                                        1                  4.2092511229901396E-003                                        2                  4.2833424408367880E-003                                        3                  4.3781110229050152E-003                                        4                  4.5174726395814354E-003                                        5                  5.2079922361928039E-003                                        4                  5.8234022091084112E-003                                        3                  6.6926489727901694E-003                                        2                  8.2220262710554874E-003                                        1                  1.2712620605652971E-002                  8.2245883481578563E-001                                        0                                        5 
                                     700                                     1397                  2.9269315806808167E+009                  1.3775601000000002E+000                                        0                  3.3446046084810066E-003                                        1                  3.3899582893184960E-003                                        2                  3.4446252315131765E-003                                        3                  3.5137230992015149E-003                                        4                  3.6102785407464036E-003                                        5                  4.2953835733617416E-003                                        4                  4.7974127942734847E-003                                        3                  5.5001512462857253E-003                                        2                  6.6907948243387205E-003                                        1                  1.0255907947835359E-002                  9.1034623613636223E-001                                        0                                        5 
                                     800                                     1438                  2.9427102677922983E+009                  1.3775601000000002E+000                                        0                  2.7927811029829740E-003                                        1                  2.8285172846009773E-003                                        2                  2.8713893316338608E-003                                        3                  2.9250515432489364E-003                                        4                  2.9978974490545273E-003                                        5                  3.6535694556498436E-003                                        4                  4.0832425660632787E-003                                        3                  4.6729439380999976E-003                                        2                  5.6535318570996498E-003                                        1                  8.6207247525493351E-003                  9.8473784134901077E-001                                        0                                        5 
